time	size	parameter
345	a-50	decroissant
343	a-50	decroissant
361	a-50	decroissant
328	a-50	decroissant
356	a-50	decroissant
329	a-50	decroissant
343	a-50	decroissant
320	a-50	decroissant
375	a-50	decroissant
333	a-50	decroissant
382	a-50	decroissant
327	a-50	decroissant
365	a-50	decroissant
338	a-50	decroissant
373	a-50	decroissant
333	a-50	decroissant
322	a-50	decroissant
299	a-50	decroissant
367	a-50	decroissant
336	a-50	decroissant
323	a-50	decroissant
305	a-50	decroissant
306	a-50	decroissant
434	a-50	decroissant
351	a-50	decroissant
333	a-50	decroissant
335	a-50	decroissant
352	a-50	decroissant
360	a-50	decroissant
329	a-50	decroissant
431	a-50	decroissant
457	a-50	decroissant
422	a-50	decroissant
311	a-50	decroissant
316	a-50	decroissant
348	a-50	decroissant
320	a-50	decroissant
307	a-50	decroissant
303	a-50	decroissant
315	a-50	decroissant
311	a-50	decroissant
310	a-50	decroissant
311	a-50	decroissant
307	a-50	decroissant
314	a-50	decroissant
311	a-50	decroissant
436	a-50	decroissant
319	a-50	decroissant
343	a-50	decroissant
330	a-50	decroissant
405	a-50	decroissant
346	a-50	decroissant
386	a-50	decroissant
324	a-50	decroissant
349	a-50	decroissant
392	a-50	decroissant
341	a-50	decroissant
345	a-50	decroissant
393	a-50	decroissant
331	a-50	decroissant
332	a-50	decroissant
339	a-50	decroissant
332	a-50	decroissant
337	a-50	decroissant
328	a-50	decroissant
331	a-50	decroissant
337	a-50	decroissant
297	a-50	decroissant
341	a-50	decroissant
333	a-50	decroissant
339	a-50	decroissant
329	a-50	decroissant
330	a-50	decroissant
337	a-50	decroissant
321	a-50	decroissant
357	a-50	decroissant
345	a-50	decroissant
352	a-50	decroissant
350	a-50	decroissant
344	a-50	decroissant
345	a-50	decroissant
366	a-50	decroissant
355	a-50	decroissant
372	a-50	decroissant
300	a-50	decroissant
350	a-50	decroissant
335	a-50	decroissant
334	a-50	decroissant
347	a-50	decroissant
374	a-50	decroissant
364	a-50	decroissant
344	a-50	decroissant
340	a-50	decroissant
332	a-50	decroissant
332	a-50	decroissant
334	a-50	decroissant
342	a-50	decroissant
335	a-50	decroissant
316	a-50	decroissant
332	a-50	decroissant
335	a-50	decroissant
334	a-50	decroissant
305	a-50	decroissant
353	a-50	decroissant
357	a-50	decroissant
329	a-50	decroissant
