time	size	parameter
364	b-100	decroissant
320	b-100	decroissant
326	b-100	decroissant
361	b-100	decroissant
389	b-100	decroissant
520	b-100	decroissant
407	b-100	decroissant
349	b-100	decroissant
306	b-100	decroissant
309	b-100	decroissant
356	b-100	decroissant
347	b-100	decroissant
351	b-100	decroissant
345	b-100	decroissant
309	b-100	decroissant
360	b-100	decroissant
345	b-100	decroissant
362	b-100	decroissant
341	b-100	decroissant
304	b-100	decroissant
408	b-100	decroissant
375	b-100	decroissant
309	b-100	decroissant
337	b-100	decroissant
448	b-100	decroissant
365	b-100	decroissant
367	b-100	decroissant
322	b-100	decroissant
365	b-100	decroissant
318	b-100	decroissant
329	b-100	decroissant
340	b-100	decroissant
375	b-100	decroissant
363	b-100	decroissant
352	b-100	decroissant
358	b-100	decroissant
352	b-100	decroissant
343	b-100	decroissant
356	b-100	decroissant
400	b-100	decroissant
364	b-100	decroissant
353	b-100	decroissant
353	b-100	decroissant
347	b-100	decroissant
326	b-100	decroissant
390	b-100	decroissant
355	b-100	decroissant
370	b-100	decroissant
365	b-100	decroissant
310	b-100	decroissant
348	b-100	decroissant
341	b-100	decroissant
342	b-100	decroissant
363	b-100	decroissant
352	b-100	decroissant
333	b-100	decroissant
344	b-100	decroissant
339	b-100	decroissant
350	b-100	decroissant
339	b-100	decroissant
320	b-100	decroissant
315	b-100	decroissant
342	b-100	decroissant
342	b-100	decroissant
310	b-100	decroissant
359	b-100	decroissant
309	b-100	decroissant
336	b-100	decroissant
310	b-100	decroissant
308	b-100	decroissant
340	b-100	decroissant
346	b-100	decroissant
322	b-100	decroissant
340	b-100	decroissant
341	b-100	decroissant
333	b-100	decroissant
329	b-100	decroissant
341	b-100	decroissant
335	b-100	decroissant
337	b-100	decroissant
342	b-100	decroissant
333	b-100	decroissant
334	b-100	decroissant
319	b-100	decroissant
351	b-100	decroissant
368	b-100	decroissant
369	b-100	decroissant
346	b-100	decroissant
344	b-100	decroissant
338	b-100	decroissant
332	b-100	decroissant
333	b-100	decroissant
339	b-100	decroissant
417	b-100	decroissant
362	b-100	decroissant
356	b-100	decroissant
350	b-100	decroissant
307	b-100	decroissant
376	b-100	decroissant
395	b-100	decroissant
347	b-100	decroissant
421	b-100	decroissant
373	b-100	decroissant
360	b-100	decroissant
333	b-100	decroissant
454	b-100	decroissant
346	b-100	decroissant
353	b-100	decroissant
361	b-100	decroissant
387	b-100	decroissant
378	b-100	decroissant
390	b-100	decroissant
373	b-100	decroissant
369	b-100	decroissant
349	b-100	decroissant
336	b-100	decroissant
347	b-100	decroissant
347	b-100	decroissant
346	b-100	decroissant
355	b-100	decroissant
305	b-100	decroissant
337	b-100	decroissant
376	b-100	decroissant
351	b-100	decroissant
350	b-100	decroissant
389	b-100	decroissant
360	b-100	decroissant
345	b-100	decroissant
335	b-100	decroissant
348	b-100	decroissant
445	b-100	decroissant
372	b-100	decroissant
416	b-100	decroissant
361	b-100	decroissant
355	b-100	decroissant
385	b-100	decroissant
337	b-100	decroissant
349	b-100	decroissant
345	b-100	decroissant
342	b-100	decroissant
372	b-100	decroissant
344	b-100	decroissant
353	b-100	decroissant
358	b-100	decroissant
325	b-100	decroissant
382	b-100	decroissant
341	b-100	decroissant
319	b-100	decroissant
357	b-100	decroissant
327	b-100	decroissant
377	b-100	decroissant
412	b-100	decroissant
347	b-100	decroissant
353	b-100	decroissant
361	b-100	decroissant
360	b-100	decroissant
325	b-100	decroissant
351	b-100	decroissant
448	b-100	decroissant
393	b-100	decroissant
470	b-100	decroissant
383	b-100	decroissant
398	b-100	decroissant
355	b-100	decroissant
350	b-100	decroissant
347	b-100	decroissant
380	b-100	decroissant
370	b-100	decroissant
372	b-100	decroissant
364	b-100	decroissant
348	b-100	decroissant
349	b-100	decroissant
439	b-100	decroissant
364	b-100	decroissant
352	b-100	decroissant
349	b-100	decroissant
312	b-100	decroissant
386	b-100	decroissant
336	b-100	decroissant
306	b-100	decroissant
323	b-100	decroissant
306	b-100	decroissant
352	b-100	decroissant
334	b-100	decroissant
337	b-100	decroissant
322	b-100	decroissant
338	b-100	decroissant
337	b-100	decroissant
346	b-100	decroissant
334	b-100	decroissant
309	b-100	decroissant
311	b-100	decroissant
339	b-100	decroissant
308	b-100	decroissant
309	b-100	decroissant
337	b-100	decroissant
336	b-100	decroissant
344	b-100	decroissant
307	b-100	decroissant
377	b-100	decroissant
369	b-100	decroissant
345	b-100	decroissant
305	b-100	decroissant
373	b-100	decroissant
374	b-100	decroissant
361	b-100	decroissant
338	b-100	decroissant
358	b-100	decroissant
352	b-100	decroissant
337	b-100	decroissant
358	b-100	decroissant
351	b-100	decroissant
369	b-100	decroissant
340	b-100	decroissant
341	b-100	decroissant
367	b-100	decroissant
374	b-100	decroissant
338	b-100	decroissant
313	b-100	decroissant
338	b-100	decroissant
309	b-100	decroissant
439	b-100	decroissant
440	b-100	decroissant
359	b-100	decroissant
361	b-100	decroissant
339	b-100	decroissant
345	b-100	decroissant
379	b-100	decroissant
338	b-100	decroissant
371	b-100	decroissant
357	b-100	decroissant
340	b-100	decroissant
365	b-100	decroissant
310	b-100	decroissant
471	b-100	decroissant
391	b-100	decroissant
371	b-100	decroissant
354	b-100	decroissant
343	b-100	decroissant
368	b-100	decroissant
404	b-100	decroissant
410	b-100	decroissant
464	b-100	decroissant
345	b-100	decroissant
309	b-100	decroissant
317	b-100	decroissant
391	b-100	decroissant
350	b-100	decroissant
349	b-100	decroissant
337	b-100	decroissant
331	b-100	decroissant
363	b-100	decroissant
387	b-100	decroissant
322	b-100	decroissant
357	b-100	decroissant
358	b-100	decroissant
346	b-100	decroissant
373	b-100	decroissant
329	b-100	decroissant
392	b-100	decroissant
320	b-100	decroissant
312	b-100	decroissant
343	b-100	decroissant
339	b-100	decroissant
341	b-100	decroissant
339	b-100	decroissant
333	b-100	decroissant
339	b-100	decroissant
339	b-100	decroissant
343	b-100	decroissant
336	b-100	decroissant
338	b-100	decroissant
345	b-100	decroissant
337	b-100	decroissant
339	b-100	decroissant
338	b-100	decroissant
346	b-100	decroissant
336	b-100	decroissant
339	b-100	decroissant
337	b-100	decroissant
340	b-100	decroissant
340	b-100	decroissant
335	b-100	decroissant
327	b-100	decroissant
328	b-100	decroissant
430	b-100	decroissant
421	b-100	decroissant
428	b-100	decroissant
422	b-100	decroissant
423	b-100	decroissant
425	b-100	decroissant
444	b-100	decroissant
325	b-100	decroissant
324	b-100	decroissant
401	b-100	decroissant
420	b-100	decroissant
426	b-100	decroissant
438	b-100	decroissant
429	b-100	decroissant
390	b-100	decroissant
434	b-100	decroissant
333	b-100	decroissant
360	b-100	decroissant
378	b-100	decroissant
352	b-100	decroissant
428	b-100	decroissant
413	b-100	decroissant
373	b-100	decroissant
428	b-100	decroissant
343	b-100	decroissant
436	b-100	decroissant
393	b-100	decroissant
339	b-100	decroissant
411	b-100	decroissant
439	b-100	decroissant
414	b-100	decroissant
365	b-100	decroissant
319	b-100	decroissant
324	b-100	decroissant
327	b-100	decroissant
373	b-100	decroissant
435	b-100	decroissant
440	b-100	decroissant
412	b-100	decroissant
437	b-100	decroissant
451	b-100	decroissant
433	b-100	decroissant
426	b-100	decroissant
420	b-100	decroissant
426	b-100	decroissant
362	b-100	decroissant
410	b-100	decroissant
374	b-100	decroissant
429	b-100	decroissant
353	b-100	decroissant
410	b-100	decroissant
361	b-100	decroissant
347	b-100	decroissant
323	b-100	decroissant
362	b-100	decroissant
491	b-100	decroissant
342	b-100	decroissant
330	b-100	decroissant
517	b-100	decroissant
335	b-100	decroissant
369	b-100	decroissant
450	b-100	decroissant
409	b-100	decroissant
326	b-100	decroissant
353	b-100	decroissant
347	b-100	decroissant
329	b-100	decroissant
356	b-100	decroissant
379	b-100	decroissant
412	b-100	decroissant
365	b-100	decroissant
374	b-100	decroissant
369	b-100	decroissant
364	b-100	decroissant
385	b-100	decroissant
444	b-100	decroissant
361	b-100	decroissant
349	b-100	decroissant
360	b-100	decroissant
364	b-100	decroissant
345	b-100	decroissant
350	b-100	decroissant
346	b-100	decroissant
331	b-100	decroissant
320	b-100	decroissant
398	b-100	decroissant
349	b-100	decroissant
365	b-100	decroissant
359	b-100	decroissant
364	b-100	decroissant
336	b-100	decroissant
367	b-100	decroissant
362	b-100	decroissant
486	b-100	decroissant
456	b-100	decroissant
313	b-100	decroissant
367	b-100	decroissant
385	b-100	decroissant
360	b-100	decroissant
323	b-100	decroissant
380	b-100	decroissant
342	b-100	decroissant
388	b-100	decroissant
339	b-100	decroissant
427	b-100	decroissant
585	b-100	decroissant
347	b-100	decroissant
374	b-100	decroissant
465	b-100	decroissant
477	b-100	decroissant
375	b-100	decroissant
329	b-100	decroissant
331	b-100	decroissant
349	b-100	decroissant
362	b-100	decroissant
342	b-100	decroissant
361	b-100	decroissant
369	b-100	decroissant
347	b-100	decroissant
445	b-100	decroissant
383	b-100	decroissant
460	b-100	decroissant
383	b-100	decroissant
396	b-100	decroissant
373	b-100	decroissant
365	b-100	decroissant
343	b-100	decroissant
343	b-100	decroissant
367	b-100	decroissant
309	b-100	decroissant
312	b-100	decroissant
333	b-100	decroissant
367	b-100	decroissant
328	b-100	decroissant
343	b-100	decroissant
346	b-100	decroissant
402	b-100	decroissant
354	b-100	decroissant
342	b-100	decroissant
358	b-100	decroissant
354	b-100	decroissant
347	b-100	decroissant
342	b-100	decroissant
348	b-100	decroissant
344	b-100	decroissant
310	b-100	decroissant
346	b-100	decroissant
369	b-100	decroissant
341	b-100	decroissant
367	b-100	decroissant
314	b-100	decroissant
370	b-100	decroissant
339	b-100	decroissant
346	b-100	decroissant
336	b-100	decroissant
352	b-100	decroissant
335	b-100	decroissant
310	b-100	decroissant
343	b-100	decroissant
344	b-100	decroissant
342	b-100	decroissant
340	b-100	decroissant
338	b-100	decroissant
338	b-100	decroissant
338	b-100	decroissant
354	b-100	decroissant
336	b-100	decroissant
344	b-100	decroissant
341	b-100	decroissant
366	b-100	decroissant
338	b-100	decroissant
347	b-100	decroissant
345	b-100	decroissant
358	b-100	decroissant
338	b-100	decroissant
353	b-100	decroissant
334	b-100	decroissant
345	b-100	decroissant
335	b-100	decroissant
337	b-100	decroissant
389	b-100	decroissant
332	b-100	decroissant
381	b-100	decroissant
372	b-100	decroissant
356	b-100	decroissant
341	b-100	decroissant
343	b-100	decroissant
345	b-100	decroissant
358	b-100	decroissant
339	b-100	decroissant
369	b-100	decroissant
354	b-100	decroissant
367	b-100	decroissant
345	b-100	decroissant
400	b-100	decroissant
332	b-100	decroissant
357	b-100	decroissant
338	b-100	decroissant
383	b-100	decroissant
375	b-100	decroissant
340	b-100	decroissant
347	b-100	decroissant
355	b-100	decroissant
348	b-100	decroissant
352	b-100	decroissant
345	b-100	decroissant
344	b-100	decroissant
319	b-100	decroissant
340	b-100	decroissant
369	b-100	decroissant
344	b-100	decroissant
357	b-100	decroissant
355	b-100	decroissant
349	b-100	decroissant
372	b-100	decroissant
348	b-100	decroissant
346	b-100	decroissant
347	b-100	decroissant
351	b-100	decroissant
347	b-100	decroissant
343	b-100	decroissant
340	b-100	decroissant
340	b-100	decroissant
352	b-100	decroissant
344	b-100	decroissant
344	b-100	decroissant
350	b-100	decroissant
329	b-100	decroissant
369	b-100	decroissant
363	b-100	decroissant
373	b-100	decroissant
501	b-100	decroissant
371	b-100	decroissant
320	b-100	decroissant
348	b-100	decroissant
348	b-100	decroissant
352	b-100	decroissant
346	b-100	decroissant
331	b-100	decroissant
347	b-100	decroissant
353	b-100	decroissant
364	b-100	decroissant
354	b-100	decroissant
366	b-100	decroissant
345	b-100	decroissant
331	b-100	decroissant
347	b-100	decroissant
353	b-100	decroissant
357	b-100	decroissant
472	b-100	decroissant
401	b-100	decroissant
386	b-100	decroissant
373	b-100	decroissant
394	b-100	decroissant
355	b-100	decroissant
350	b-100	decroissant
347	b-100	decroissant
381	b-100	decroissant
401	b-100	decroissant
341	b-100	decroissant
346	b-100	decroissant
345	b-100	decroissant
347	b-100	decroissant
348	b-100	decroissant
341	b-100	decroissant
351	b-100	decroissant
348	b-100	decroissant
351	b-100	decroissant
349	b-100	decroissant
357	b-100	decroissant
347	b-100	decroissant
340	b-100	decroissant
344	b-100	decroissant
377	b-100	decroissant
333	b-100	decroissant
353	b-100	decroissant
343	b-100	decroissant
362	b-100	decroissant
368	b-100	decroissant
356	b-100	decroissant
340	b-100	decroissant
349	b-100	decroissant
351	b-100	decroissant
318	b-100	decroissant
350	b-100	decroissant
341	b-100	decroissant
310	b-100	decroissant
362	b-100	decroissant
319	b-100	decroissant
303	b-100	decroissant
351	b-100	decroissant
365	b-100	decroissant
343	b-100	decroissant
346	b-100	decroissant
347	b-100	decroissant
336	b-100	decroissant
342	b-100	decroissant
335	b-100	decroissant
340	b-100	decroissant
339	b-100	decroissant
333	b-100	decroissant
349	b-100	decroissant
334	b-100	decroissant
336	b-100	decroissant
336	b-100	decroissant
341	b-100	decroissant
337	b-100	decroissant
333	b-100	decroissant
344	b-100	decroissant
337	b-100	decroissant
332	b-100	decroissant
355	b-100	decroissant
306	b-100	decroissant
359	b-100	decroissant
443	b-100	decroissant
393	b-100	decroissant
313	b-100	decroissant
345	b-100	decroissant
315	b-100	decroissant
362	b-100	decroissant
360	b-100	decroissant
430	b-100	decroissant
366	b-100	decroissant
313	b-100	decroissant
338	b-100	decroissant
356	b-100	decroissant
401	b-100	decroissant
354	b-100	decroissant
362	b-100	decroissant
364	b-100	decroissant
351	b-100	decroissant
427	b-100	decroissant
359	b-100	decroissant
352	b-100	decroissant
344	b-100	decroissant
352	b-100	decroissant
346	b-100	decroissant
362	b-100	decroissant
470	b-100	decroissant
343	b-100	decroissant
358	b-100	decroissant
349	b-100	decroissant
308	b-100	decroissant
354	b-100	decroissant
357	b-100	decroissant
326	b-100	decroissant
371	b-100	decroissant
321	b-100	decroissant
328	b-100	decroissant
346	b-100	decroissant
346	b-100	decroissant
343	b-100	decroissant
343	b-100	decroissant
377	b-100	decroissant
365	b-100	decroissant
341	b-100	decroissant
366	b-100	decroissant
346	b-100	decroissant
345	b-100	decroissant
343	b-100	decroissant
343	b-100	decroissant
337	b-100	decroissant
367	b-100	decroissant
309	b-100	decroissant
319	b-100	decroissant
337	b-100	decroissant
395	b-100	decroissant
363	b-100	decroissant
399	b-100	decroissant
326	b-100	croissant
482	b-100	croissant
367	b-100	croissant
396	b-100	croissant
377	b-100	croissant
363	b-100	croissant
363	b-100	croissant
386	b-100	croissant
360	b-100	croissant
354	b-100	croissant
367	b-100	croissant
357	b-100	croissant
409	b-100	croissant
359	b-100	croissant
348	b-100	croissant
362	b-100	croissant
305	b-100	croissant
355	b-100	croissant
367	b-100	croissant
372	b-100	croissant
355	b-100	croissant
347	b-100	croissant
327	b-100	croissant
356	b-100	croissant
377	b-100	croissant
385	b-100	croissant
512	b-100	croissant
344	b-100	croissant
350	b-100	croissant
345	b-100	croissant
348	b-100	croissant
454	b-100	croissant
351	b-100	croissant
362	b-100	croissant
382	b-100	croissant
374	b-100	croissant
457	b-100	croissant
388	b-100	croissant
363	b-100	croissant
389	b-100	croissant
348	b-100	croissant
359	b-100	croissant
316	b-100	croissant
367	b-100	croissant
340	b-100	croissant
329	b-100	croissant
364	b-100	croissant
312	b-100	croissant
370	b-100	croissant
340	b-100	croissant
371	b-100	croissant
338	b-100	croissant
355	b-100	croissant
355	b-100	croissant
379	b-100	croissant
341	b-100	croissant
353	b-100	croissant
348	b-100	croissant
386	b-100	croissant
338	b-100	croissant
315	b-100	croissant
341	b-100	croissant
339	b-100	croissant
343	b-100	croissant
311	b-100	croissant
313	b-100	croissant
405	b-100	croissant
311	b-100	croissant
319	b-100	croissant
350	b-100	croissant
316	b-100	croissant
337	b-100	croissant
370	b-100	croissant
377	b-100	croissant
403	b-100	croissant
347	b-100	croissant
425	b-100	croissant
431	b-100	croissant
347	b-100	croissant
422	b-100	croissant
374	b-100	croissant
340	b-100	croissant
357	b-100	croissant
359	b-100	croissant
364	b-100	croissant
350	b-100	croissant
355	b-100	croissant
351	b-100	croissant
348	b-100	croissant
369	b-100	croissant
378	b-100	croissant
345	b-100	croissant
428	b-100	croissant
345	b-100	croissant
447	b-100	croissant
430	b-100	croissant
426	b-100	croissant
439	b-100	croissant
453	b-100	croissant
448	b-100	croissant
406	b-100	croissant
340	b-100	croissant
348	b-100	croissant
403	b-100	croissant
405	b-100	croissant
437	b-100	croissant
437	b-100	croissant
442	b-100	croissant
394	b-100	croissant
361	b-100	croissant
409	b-100	croissant
385	b-100	croissant
368	b-100	croissant
433	b-100	croissant
442	b-100	croissant
445	b-100	croissant
455	b-100	croissant
342	b-100	croissant
339	b-100	croissant
335	b-100	croissant
430	b-100	croissant
342	b-100	croissant
407	b-100	croissant
435	b-100	croissant
432	b-100	croissant
437	b-100	croissant
378	b-100	croissant
415	b-100	croissant
494	b-100	croissant
335	b-100	croissant
430	b-100	croissant
333	b-100	croissant
440	b-100	croissant
383	b-100	croissant
376	b-100	croissant
446	b-100	croissant
427	b-100	croissant
328	b-100	croissant
477	b-100	croissant
437	b-100	croissant
466	b-100	croissant
345	b-100	croissant
332	b-100	croissant
326	b-100	croissant
349	b-100	croissant
460	b-100	croissant
466	b-100	croissant
506	b-100	croissant
655	b-100	croissant
394	b-100	croissant
390	b-100	croissant
313	b-100	croissant
351	b-100	croissant
356	b-100	croissant
382	b-100	croissant
306	b-100	croissant
371	b-100	croissant
323	b-100	croissant
403	b-100	croissant
406	b-100	croissant
379	b-100	croissant
392	b-100	croissant
374	b-100	croissant
357	b-100	croissant
355	b-100	croissant
350	b-100	croissant
393	b-100	croissant
374	b-100	croissant
326	b-100	croissant
327	b-100	croissant
338	b-100	croissant
342	b-100	croissant
336	b-100	croissant
334	b-100	croissant
365	b-100	croissant
336	b-100	croissant
307	b-100	croissant
344	b-100	croissant
341	b-100	croissant
356	b-100	croissant
357	b-100	croissant
361	b-100	croissant
347	b-100	croissant
358	b-100	croissant
457	b-100	croissant
329	b-100	croissant
344	b-100	croissant
347	b-100	croissant
355	b-100	croissant
640	b-100	croissant
484	b-100	croissant
474	b-100	croissant
367	b-100	croissant
347	b-100	croissant
384	b-100	croissant
354	b-100	croissant
336	b-100	croissant
317	b-100	croissant
345	b-100	croissant
382	b-100	croissant
344	b-100	croissant
359	b-100	croissant
357	b-100	croissant
323	b-100	croissant
327	b-100	croissant
387	b-100	croissant
376	b-100	croissant
309	b-100	croissant
360	b-100	croissant
337	b-100	croissant
351	b-100	croissant
358	b-100	croissant
418	b-100	croissant
327	b-100	croissant
333	b-100	croissant
348	b-100	croissant
354	b-100	croissant
392	b-100	croissant
338	b-100	croissant
385	b-100	croissant
377	b-100	croissant
357	b-100	croissant
380	b-100	croissant
347	b-100	croissant
364	b-100	croissant
365	b-100	croissant
347	b-100	croissant
355	b-100	croissant
349	b-100	croissant
348	b-100	croissant
306	b-100	croissant
370	b-100	croissant
346	b-100	croissant
460	b-100	croissant
356	b-100	croissant
535	b-100	croissant
445	b-100	croissant
320	b-100	croissant
357	b-100	croissant
350	b-100	croissant
360	b-100	croissant
407	b-100	croissant
355	b-100	croissant
364	b-100	croissant
363	b-100	croissant
362	b-100	croissant
386	b-100	croissant
396	b-100	croissant
365	b-100	croissant
326	b-100	croissant
344	b-100	croissant
321	b-100	croissant
370	b-100	croissant
317	b-100	croissant
320	b-100	croissant
354	b-100	croissant
354	b-100	croissant
378	b-100	croissant
310	b-100	croissant
332	b-100	croissant
378	b-100	croissant
375	b-100	croissant
365	b-100	croissant
393	b-100	croissant
347	b-100	croissant
342	b-100	croissant
311	b-100	croissant
340	b-100	croissant
342	b-100	croissant
314	b-100	croissant
318	b-100	croissant
367	b-100	croissant
359	b-100	croissant
357	b-100	croissant
378	b-100	croissant
317	b-100	croissant
395	b-100	croissant
307	b-100	croissant
313	b-100	croissant
327	b-100	croissant
321	b-100	croissant
390	b-100	croissant
342	b-100	croissant
322	b-100	croissant
360	b-100	croissant
397	b-100	croissant
366	b-100	croissant
364	b-100	croissant
347	b-100	croissant
429	b-100	croissant
314	b-100	croissant
358	b-100	croissant
366	b-100	croissant
359	b-100	croissant
500	b-100	croissant
387	b-100	croissant
359	b-100	croissant
361	b-100	croissant
344	b-100	croissant
350	b-100	croissant
349	b-100	croissant
397	b-100	croissant
376	b-100	croissant
366	b-100	croissant
356	b-100	croissant
353	b-100	croissant
366	b-100	croissant
318	b-100	croissant
346	b-100	croissant
336	b-100	croissant
337	b-100	croissant
360	b-100	croissant
320	b-100	croissant
385	b-100	croissant
324	b-100	croissant
350	b-100	croissant
347	b-100	croissant
352	b-100	croissant
318	b-100	croissant
314	b-100	croissant
347	b-100	croissant
346	b-100	croissant
344	b-100	croissant
352	b-100	croissant
337	b-100	croissant
367	b-100	croissant
419	b-100	croissant
362	b-100	croissant
462	b-100	croissant
389	b-100	croissant
339	b-100	croissant
388	b-100	croissant
363	b-100	croissant
365	b-100	croissant
358	b-100	croissant
363	b-100	croissant
343	b-100	croissant
350	b-100	croissant
350	b-100	croissant
403	b-100	croissant
400	b-100	croissant
320	b-100	croissant
351	b-100	croissant
376	b-100	croissant
375	b-100	croissant
368	b-100	croissant
376	b-100	croissant
329	b-100	croissant
376	b-100	croissant
348	b-100	croissant
345	b-100	croissant
366	b-100	croissant
355	b-100	croissant
349	b-100	croissant
375	b-100	croissant
349	b-100	croissant
362	b-100	croissant
354	b-100	croissant
364	b-100	croissant
384	b-100	croissant
453	b-100	croissant
367	b-100	croissant
317	b-100	croissant
352	b-100	croissant
350	b-100	croissant
444	b-100	croissant
367	b-100	croissant
375	b-100	croissant
340	b-100	croissant
333	b-100	croissant
341	b-100	croissant
377	b-100	croissant
420	b-100	croissant
312	b-100	croissant
326	b-100	croissant
349	b-100	croissant
335	b-100	croissant
337	b-100	croissant
341	b-100	croissant
344	b-100	croissant
343	b-100	croissant
313	b-100	croissant
399	b-100	croissant
328	b-100	croissant
304	b-100	croissant
344	b-100	croissant
320	b-100	croissant
394	b-100	croissant
312	b-100	croissant
335	b-100	croissant
340	b-100	croissant
351	b-100	croissant
305	b-100	croissant
312	b-100	croissant
333	b-100	croissant
325	b-100	croissant
361	b-100	croissant
356	b-100	croissant
351	b-100	croissant
358	b-100	croissant
348	b-100	croissant
352	b-100	croissant
348	b-100	croissant
362	b-100	croissant
345	b-100	croissant
348	b-100	croissant
354	b-100	croissant
383	b-100	croissant
308	b-100	croissant
357	b-100	croissant
364	b-100	croissant
364	b-100	croissant
368	b-100	croissant
345	b-100	croissant
348	b-100	croissant
350	b-100	croissant
372	b-100	croissant
348	b-100	croissant
353	b-100	croissant
351	b-100	croissant
341	b-100	croissant
345	b-100	croissant
366	b-100	croissant
351	b-100	croissant
334	b-100	croissant
364	b-100	croissant
408	b-100	croissant
359	b-100	croissant
346	b-100	croissant
362	b-100	croissant
367	b-100	croissant
351	b-100	croissant
361	b-100	croissant
354	b-100	croissant
310	b-100	croissant
405	b-100	croissant
432	b-100	croissant
360	b-100	croissant
371	b-100	croissant
404	b-100	croissant
407	b-100	croissant
367	b-100	croissant
353	b-100	croissant
329	b-100	croissant
421	b-100	croissant
390	b-100	croissant
354	b-100	croissant
354	b-100	croissant
384	b-100	croissant
398	b-100	croissant
349	b-100	croissant
345	b-100	croissant
361	b-100	croissant
353	b-100	croissant
327	b-100	croissant
340	b-100	croissant
336	b-100	croissant
312	b-100	croissant
337	b-100	croissant
316	b-100	croissant
307	b-100	croissant
339	b-100	croissant
342	b-100	croissant
343	b-100	croissant
358	b-100	croissant
346	b-100	croissant
342	b-100	croissant
323	b-100	croissant
426	b-100	croissant
321	b-100	croissant
359	b-100	croissant
364	b-100	croissant
341	b-100	croissant
346	b-100	croissant
376	b-100	croissant
322	b-100	croissant
351	b-100	croissant
317	b-100	croissant
381	b-100	croissant
361	b-100	croissant
347	b-100	croissant
349	b-100	croissant
355	b-100	croissant
352	b-100	croissant
348	b-100	croissant
346	b-100	croissant
344	b-100	croissant
344	b-100	croissant
348	b-100	croissant
360	b-100	croissant
368	b-100	croissant
362	b-100	croissant
357	b-100	croissant
352	b-100	croissant
358	b-100	croissant
356	b-100	croissant
395	b-100	croissant
349	b-100	croissant
348	b-100	croissant
355	b-100	croissant
349	b-100	croissant
348	b-100	croissant
355	b-100	croissant
353	b-100	croissant
377	b-100	croissant
365	b-100	croissant
360	b-100	croissant
340	b-100	croissant
349	b-100	croissant
349	b-100	croissant
348	b-100	croissant
343	b-100	croissant
364	b-100	croissant
361	b-100	croissant
362	b-100	croissant
365	b-100	croissant
415	b-100	croissant
365	b-100	croissant
364	b-100	croissant
356	b-100	croissant
409	b-100	croissant
362	b-100	croissant
364	b-100	croissant
352	b-100	croissant
354	b-100	croissant
349	b-100	croissant
348	b-100	croissant
351	b-100	croissant
358	b-100	croissant
362	b-100	croissant
348	b-100	croissant
357	b-100	croissant
355	b-100	croissant
390	b-100	croissant
347	b-100	croissant
376	b-100	croissant
417	b-100	croissant
362	b-100	croissant
388	b-100	croissant
371	b-100	croissant
376	b-100	croissant
458	b-100	croissant
338	b-100	croissant
427	b-100	croissant
428	b-100	croissant
441	b-100	croissant
440	b-100	croissant
444	b-100	croissant
448	b-100	croissant
408	b-100	croissant
389	b-100	croissant
397	b-100	croissant
393	b-100	croissant
438	b-100	croissant
435	b-100	croissant
431	b-100	croissant
371	b-100	croissant
345	b-100	croissant
411	b-100	croissant
332	b-100	croissant
401	b-100	croissant
377	b-100	croissant
430	b-100	croissant
390	b-100	croissant
381	b-100	croissant
428	b-100	croissant
420	b-100	croissant
379	b-100	croissant
378	b-100	croissant
425	b-100	croissant
437	b-100	croissant
411	b-100	croissant
439	b-100	croissant
408	b-100	croissant
435	b-100	croissant
332	b-100	croissant
374	b-100	croissant
481	b-100	croissant
432	b-100	croissant
344	b-100	croissant
339	b-100	croissant
393	b-100	croissant
444	b-100	croissant
373	b-100	croissant
412	b-100	croissant
340	b-100	croissant
330	b-100	croissant
345	b-100	croissant
342	b-100	croissant
639	b-100	croissant
829	b-100	croissant
340	b-100	croissant
329	b-100	croissant
314	b-100	croissant
377	b-100	croissant
368	b-100	croissant
375	b-100	croissant
477	b-100	croissant
390	b-100	croissant
373	b-100	croissant
354	b-100	croissant
357	b-100	croissant
351	b-100	croissant
368	b-100	croissant
345	b-100	croissant
364	b-100	croissant
349	b-100	croissant
319	b-100	croissant
344	b-100	croissant
357	b-100	croissant
353	b-100	croissant
323	b-100	croissant
346	b-100	croissant
356	b-100	croissant
438	b-100	croissant
369	b-100	croissant
368	b-100	croissant
469	b-100	croissant
337	b-100	croissant
376	b-100	croissant
395	b-100	croissant
323	b-100	croissant
364	b-100	croissant
351	b-100	croissant
393	b-100	croissant
353	b-100	croissant
468	b-100	croissant
467	b-100	croissant
328	b-100	croissant
330	b-100	croissant
324	b-100	croissant
365	b-100	croissant
333	b-100	croissant
326	b-100	croissant
328	b-100	croissant
459	b-100	croissant
335	b-100	croissant
444	b-100	croissant
339	b-100	croissant
330	b-100	croissant
451	b-100	croissant
333	b-100	croissant
452	b-100	croissant
330	b-100	croissant
327	b-100	croissant
331	b-100	croissant
343	b-100	croissant
333	b-100	croissant
335	b-100	croissant
343	b-100	croissant
470	b-100	croissant
345	b-100	croissant
433	b-100	croissant
367	b-100	croissant
377	b-100	croissant
311	b-100	croissant
358	b-100	croissant
361	b-100	croissant
361	b-100	croissant
337	b-100	croissant
341	b-100	croissant
345	b-100	croissant
349	b-100	croissant
343	b-100	croissant
357	b-100	croissant
403	b-100	croissant
357	b-100	croissant
351	b-100	croissant
347	b-100	croissant
485	b-100	croissant
338	b-100	croissant
353	b-100	croissant
341	b-100	croissant
414	b-100	croissant
340	b-100	croissant
316	b-100	croissant
405	b-100	croissant
359	b-100	croissant
395	b-100	croissant
